Pessoa/Organização;Ação;Item;Empenhado (R$);Liquidado (R$)
Adriano Castro de Paula Materiais de Construção - Me;5304 - Ensino de Graduação nas Universidades Estaduais;44905234 - Outros Equipamentos e Material Permanente;2171,00;2171,00
Alex Sandro de Christo Transportes -  ME;5304 - Ensino de Graduação nas Universidades Estaduais;33903343 - Locação de Veículos, Aeronaves e Outros;216583,45;174407,63
Alexandre dos Reis Rao Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903014 - Material de Limpeza;3482,40;0,00
Alexandre dos Reis Rao Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903031 - Material Médico, Hospitalar e Odontológico;1800,00;0,00
Aliadas Empório do Papel Atacadista e Varejista Ltda-me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903041 - Material de Escritório, Papelaria e Impressos;577,50;577,50
Alimentos Estrela Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;51000,00;36357,12
Alpha Termic Com. e Instal. Ind. Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;7433,41;7433,41
Alpha Termic Com. e Instal. Ind. Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;32922,72;32919,93
Alta Serrana Coml Eireli Me;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;648,00;648,00
Alvaro Balzon 35693304949;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903052 - Material para Conservação e Manutenção de Imóveis;200,00;200,00
Amc Comércio de Hortifruti Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;54977,60;50350,72
Ana Lucia Eiko Nozaki Sola Losa;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;14000,00;1663,85
Ana Maria Mendes Brito;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;12000,00;9067,73
André Lima Vides Bauru - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903980 - Conservação e Manutenção de Bens Móveis e Equipame;4758,00;4758,00
Angelo Gabriel de Oliveira;5304 - Ensino de Graduação nas Universidades Estaduais;33903992 - Despesas Miúdas e de Pronto Pagamento;7500,00;7500,00
Angelo Gabriel de Oliveira;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;1200,00;1200,00
Anma - Comércio Varejista de Padaria Ltda. Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;14000,00;14000,00
Aparecida Moura da Silva Forte;5304 - Ensino de Graduação nas Universidades Estaduais;33903983 - Serviços Gráficos;1920,00;1920,00
Armazéns Gerais Furusho & Salzano Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;95737,50;2214,75
Balanças Bordon Ltda;5304 - Ensino de Graduação nas Universidades e Faculdades Estaduais;33903090 - Outros Materiais de Consumo;3552,60;3552,60
Básica Fornecimento de Refeições Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903973 - Fornecimento de Alimentação Preparada - Outros;3026604,72;2898661,22
Básica Fornecimento de Refeições Ltda - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903999 - Outros Serviços de Terceiros;9133726,30;4234222,45
Belaris Alimentos Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;9133,50;6964,45
Beneficiadora Geraldo A. Carrera Ltda. - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;85724,00;69549,12
Bh Foods Comércio e Industria Ltda - Epp;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;1409756,00;1409756,00
Bignardi - Industria e Comercio de Papeis e Artefatos Ltda.;5304 - Ensino de Graduação nas Universidades Estaduais;33903041 - Material de Escritório, Papelaria e Impressos;2704,00;2704,00
Biopar Com.de Ferramentas e Ferragens Ltda-me;5304 - Ensino de Graduação nas Universidades Estaduais;33903050 - Peças de Reposição e Acessórios;14484,10;14424,12
Bomfran Alimentos Ltda;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;438268,00;438268,00
Brasfrios Distribuidora de Frios e Alimentos Ltda. - Me;5304 - Ensino de Graduação nas Universidades Estaduais;33903010 - Gêneros Alimentícios;2373,20;2373,20
